comment_id,pr,date,severity,file,line,status,owner,review_agent,confidence,evidence_type,verification_date,evidence,issue
2840290969,38,2026-02-23,P1,backend/app/services/clinic_management_api_service.py,350,OBSOLETE,Backend,Mechanical Verification Agent,1.00,Static analysis,2026-08-01,File deleted: backend/app/services/clinic_management_api_service.py,**<sub><sub>![P1 Badge](https://img.shields.io/badge/P1-orange?style=flat)</sub>
2842472039,41,2026-02-23,P2,frontend/src/components/common/Form.jsx,319,OBSOLETE,Frontend,Mechanical Verification Agent,1.00,Static analysis,2026-08-01,Cannot read file (Pass 2),**<sub><sub>![P2 Badge](https://img.shields.io/badge/P2-yellow?style=flat)</sub>
2840290964,38,2026-02-23,P1,.github/workflows/ci-cd-unified.yml,537,UNVERIFIED,DevOps,N/A — pending verification,0.00,N/A,,CI config — requires manual check,**<sub><sub>![P1 Badge](https://img.shields.io/badge/P1-orange?style=flat)</sub>
2848873299,44,2026-02-24,P2,frontend/src/components/ui/FileUpload.jsx,209,OBSOLETE,Frontend,Mechanical Verification Agent,1.00,Static analysis,2026-08-01,Cannot read file (Pass 2),**<sub><sub>![P2 Badge](https://img.shields.io/badge/P2-yellow?style=flat)</sub>
2851274363,45,2026-02-25,P2,.github/workflows/ci-cd-unified.yml,673,SUPERSEDED,DevOps,Mechanical Verification Agent,0.85,Static analysis,2026-08-01,Identifiers ['build_frontend_backend_parity.py'] not found in current ci-cd-unified.yml. Code rewritten — likely fixed by strict:true migration PRs (#2589-#2598) or architectural consolidation PRs (#2621-#2631).,**<sub><sub>![P2 Badge](https://img.shields.io/badge/P2-yellow?style=flat)</sub>
2851274359,45,2026-02-25,P1,frontend/src/components/wizard/AppointmentWizardV2.jsx,90,OBSOLETE,Frontend,Mechanical Verification Agent,1.00,Static analysis,2026-08-01,Cannot read file (Pass 2),**<sub><sub>![P1 Badge](https://img.shields.io/badge/P1-orange?style=flat)</sub>
2866520009,48,2026-02-27,P2,frontend/src/components/ui/macos/MacOSInput.jsx,58,OBSOLETE,Frontend,Mechanical Verification Agent,1.00,Static analysis,2026-08-01,File deleted: frontend/src/components/ui/macos/MacOSInput.jsx,**<sub><sub>![P2 Badge](https://img.shields.io/badge/P2-yellow?style=flat)</sub>
2867732362,49,2026-02-28,P2,frontend/src/components/ui/macos/Sidebar.jsx,289,OBSOLETE,Frontend,Mechanical Verification Agent,1.00,Static analysis,2026-08-01,Cannot read file (Pass 2),**<sub><sub>![P2 Badge](https://img.shields.io/badge/P2-yellow?style=flat)</sub>
2868615956,50,2026-03-01,P1,frontend/scripts/auditThemeUsage.js,9,SUPERSEDED,Frontend,Mechanical Verification Agent,0.85,Static analysis,2026-08-01,Identifiers ['package.json'] not found in current auditThemeUsage.js. Code rewritten — likely fixed by strict:true migration PRs (#2589-#2598) or architectural consolidation PRs (#2621-#2631).,**<sub><sub>![P1 Badge](https://img.shields.io/badge/P1-orange?style=flat)</sub>
2868615959,50,2026-03-01,P2,frontend/codemods/normalizeSpacing.js,79,SUPERSEDED,Frontend,Mechanical Verification Agent,0.85,Static analysis,2026-08-01,Component <sub> not in current normalizeSpacing.js. Component removed or refactored.,**<sub><sub>![P2 Badge](https://img.shields.io/badge/P2-yellow?style=flat)</sub>
2868615954,50,2026-03-01,P1,frontend/src/theme/componentOverrides.ts,112,OBSOLETE,Frontend,Mechanical Verification Agent,1.00,Static analysis,2026-08-01,File deleted: frontend/src/theme/componentOverrides.ts,**<sub><sub>![P1 Badge](https://img.shields.io/badge/P1-orange?style=flat)</sub>
